entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,flip_time,flip_price
2026-01-31 18:00:00+00:00,2026-02-03 20:00:00+00:00,-1,0.075,78850.0,75900.115436786,219.33890538770092,stop,2026-01-22 04:00:00+00:00,89951.9
2026-02-04 18:00:00+00:00,2026-02-05 20:00:00+00:00,-1,0.066,72548.9,64072.73809204143,558.216073434556,target,2026-01-22 04:00:00+00:00,89951.9
2026-02-05 21:00:00+00:00,2026-02-06 13:00:00+00:00,-1,0.051000000000000004,63749.4,67610.05123479183,-197.9350347466257,stop,2026-01-22 04:00:00+00:00,89951.9
2026-04-17 14:00:00+00:00,2026-05-06 18:00:00+00:00,1,0.117,77299.9,81305.2,473.87708108260813,trail_exit,,
2026-05-28 04:00:00+00:00,2026-06-02 12:00:00+00:00,-1,0.14100000000000001,73228.0,69230.8513237401,568.2567389908268,target,,
2026-06-02 13:00:00+00:00,2026-06-03 20:00:00+00:00,-1,0.158,68990.6,65024.161933343756,625.7775190533255,target,,
2026-06-03 21:00:00+00:00,2026-06-05 18:00:00+00:00,-1,0.125,64970.4,59532.08503007567,677.7280416968702,target,,
2026-06-05 19:00:00+00:00,2026-06-07 06:00:00+00:00,-1,0.084,59362.5,62243.9124768194,-244.42150579296882,stop,,
2026-06-25 14:00:00+00:00,2026-06-25 16:00:00+00:00,-1,0.136,58258.5,59990.92812446246,-239.1053350682726,stop,,
2026-08-20 09:00:00+00:00,2026-08-21 11:00:00+00:00,1,0.138,71550.0,76759.7,713.2901118052339,trail_exit,,
